"match_id","maximum_runs","player_name"
501215,20,"AG Murtaza"
501216,17,"R Ninan"
501217,23,"MS Gony"
501218,26,"AB Dinda"
501219,21,"SW Tait"
501220,15,"TG Southee"
501221,17,"DT Christian"
501223,13,"KA Pollard"
501224,15,"B Lee"
501225,25,"SK Trivedi"
501226,17,"Joginder Sharma"
501226,17,"SK Raina"
501227,19,"Z Khan"
501228,22,"RJ Harris"
501229,24,"DT Christian"
501230,16,"M Muralitharan"
501231,13,"JA Morkel"
501232,17,"AB Dinda"
501233,16,"M Kartik"
501234,15,"S Sreesanth"
501235,15,"AB Agarkar"
501236,11,"SR Watson"
501236,11,"Harbhajan Singh"
501237,24,"JE Taylor"
501238,18,"B Akhil"
501239,15,"DJ Hussey"
501240,17,"M Kartik"
501241,21,"I Sharma"
501242,15,"P Kumar"
501243,23,"UT Yadav"
501244,14,"I Sharma"
501245,19,"ND Doshi"
501246,27,"AC Thomas"
501247,22,"B Lee"
501248,23,"I Malhotra"
501249,22,"P Kumar"
501250,13,"L Balaji"
501251,20,"M Morkel"
501252,37,"P Parameswaran"
501253,22,"BA Bhatt"
501254,18,"SK Trivedi"
501255,15,"DW Steyn"
501256,18,"RG Sharma"
501257,13,"S Aravind"
501257,13,"AL Menaria"
501258,20,"AB Agarkar"
501259,19,"BJ Hodge"
501260,23,"JD Unadkat"
501261,23,"MM Patel"
501262,25,"S Sriram"
501263,19,"SW Tait"
501263,19,"JDP Oram"
501264,17,"MR Marsh"
501265,30,"JJ van der Wath"
501266,19,"DJ Bravo"
501267,15,"AC Thomas"
501268,15,"SL Malinga"
501268,15,"Harbhajan Singh"
501268,15,"A Singh"
501269,20,"PP Chawla"
501271,18,"DE Bollinger"
501271,18,"SK Raina"
501272,23,"L Balaji"
501273,23,"A Mithun"
501274,17,"YK Pathan"
501275,27,"AN Ahmed"
501276,18,"S Aravind"
501276,18,"J Syed Mohammad"
548311,16,"RA Jadeja"
548312,17,"M de Lange"
548313,12,"JEC Franklin"
548314,18,"PP Chawla"
548315,19,"IK Pathan"
548316,23,"MS Gony"
548317,19,"A Singh"
548318,27,"Bipul Sharma"
548318,27,"Harmeet Singh"
548319,21,"DT Christian"
548320,15,"HV Patel"
548321,14,"IK Pathan"
548322,23,"J Botha"
548323,28,"V Kohli"
548324,12,"AD Mascarenhas"
548325,16,"R Bhatia"
548326,21,"JP Duminy"
548327,18,"A Nehra"
548328,19,"JH Kallis"
548329,24,"S Aravind"
548329,24,"R Vinay Kumar"
548330,17,"AB Agarkar"
548331,18,"Pankaj Singh"
548331,18,"A Singh"
548332,31,"R Sharma"
548333,15,"P Kumar"
548334,20,"A Ashish Reddy"
548335,18,"DE Bollinger"
548335,18,"MN Samuels"
548336,17,"P Awana"
548337,22,"RA Jadeja"
548338,23,"S Nadeem"
548339,21,"P Kumar"
548340,13,"YK Pathan"
548341,21,"SK Trivedi"
548342,15,"A Nehra"
548344,27,"PP Chawla"
548346,19,"R Sharma"
548347,23,"KA Pollard"
548348,17,"SB Jakati"
548349,23,"R Bhatia"
548350,20,"A Singh"
548351,14,"A Mishra"
548352,11,"B Lee"
548352,11,"Iqbal Abdulla"
548352,11,"VY Mahesh"
548352,11,"DJ Bravo"
548352,11,"B Lee"
548352,11,"B Lee"
548353,25,"SC Ganguly"
548353,25,"A Nehra"
548354,18,"IK Pathan"
548355,19,"P Awana"
548356,17,"AB Dinda"
548357,21,"V Pratap Singh"
548358,19,"AB Dinda"
548358,19,"YK Pathan"
548359,19,"P Awana"
548360,24,"MM Patel"
548361,23,"DW Steyn"
548362,17,"PJ Sangwan"
548362,17,"B Lee"
548363,16,"M Kartik"
548363,16,"A Nehra"
548363,16,"AA Chavan"
548364,18,"V Pratap Singh"
548365,22,"PP Ojha"
548366,18,"DJ Bravo"
548366,18,"SR Watson"
548367,25,"B Kumar"
548368,19,"R Bhatia"
548369,13,"M Morkel"
548369,13,"BW Hilfenhaus"
548370,16,"M Kartik"
548371,21,"A Mishra"
548372,24,"MM Patel"
548373,18,"M de Lange"
548374,15,"PP Chawla"
548374,15,"P Awana"
548375,14,"Harbhajan Singh"
548376,22,"VY Mahesh"
548377,22,"P Negi"
548378,14,"J Botha"
548379,23,"P Awana"
548380,20,"MJ Clarke"
548381,24,"MS Gony"
548382,22,"Harbhajan Singh"
548383,21,"VR Aaron"
548384,19,"Harbhajan Singh"
548384,19,"DS Kulkarni"
548385,25,"VR Aaron"
548386,20,"JA Morkel"
598003,15,"IK Pathan"
598004,24,"DT Christian"
598005,15,"MN Samuels"
598006,19,"J Botha"
598007,17,"KA Pollard"
598008,21,"AB Dinda"
598010,18,"SP Narine"
598011,22,"IK Pathan"
