"venue"
"Eden Gardens"
"M Chinnaswamy Stadium"
"Feroz Shah Kotla"
"Rajiv Gandhi International Stadium Uppal"
"Wankhede Stadium"
"Sawai Mansingh Stadium"
"Punjab Cricket Association Stadium Mohali"
"MA Chidambaram Stadium Chepauk"
"Dr DY Patil Sports Academy"
"SuperSport Park"
"Kingsmead"
"Subrata Roy Sahara Stadium"
"Brabourne Stadium"
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium"
"JSCA International Stadium Complex"
"Maharashtra Cricket Association Stadium"
"New Wanderers Stadium"
"Sardar Patel Stadium Motera"
"Dubai International Cricket Stadium"
"Himachal Pradesh Cricket Association Stadium"
"Punjab Cricket Association IS Bindra Stadium Mohali"
"Saurashtra Cricket Association Stadium"
"Shaheed Veer Narayan Singh International Stadium"
"Sharjah Cricket Stadium"
"St George's Park"
"Barabati Stadium"
"Sheikh Zayed Stadium"
"De Beers Diamond Oval"
"Green Park"
"Holkar Cricket Stadium"
"Nehru Stadium"
"Newlands"
"Buffalo Park"
"OUTsurance Oval"
"Vidarbha Cricket Association Stadium Jamtha"
